Date,Symbol,Open,High,Low,Close,Volume
2023-10-12,MSHL,300.0,330.0,300.0,330.0,14178.0
2023-10-16,MSHL,336.6,363.0,297.0,300.1,52207.0
2023-10-17,MSHL,294.2,315.0,294.2,305.1,18476.0
2023-10-18,MSHL,300.0,333.5,300.0,333.5,7823.0
2023-10-19,MSHL,327.0,328.4,315.0,320.0,11866.0
2023-10-29,MSHL,313.6,316.1,307.1,308.4,12158.0
2023-10-30,MSHL,305.0,321.8,299.0,318.0,11557.0
2023-10-31,MSHL,312.2,324.0,312.2,324.0,7370.0
2023-11-01,MSHL,318.1,329.0,318.0,325.0,9290.0
2023-11-02,MSHL,319.0,323.0,316.0,316.8,4440.0
2023-11-05,MSHL,311.0,316.0,307.1,316.0,2000.0
2023-11-06,MSHL,309.7,326.0,309.7,326.0,6766.0
2023-11-07,MSHL,330.0,330.0,318.3,320.7,8533.0
2023-11-08,MSHL,315.2,336.0,315.2,335.0,13354.0
2023-11-09,MSHL,340.0,340.0,322.1,326.1,3680.0
2023-11-20,MSHL,320.0,337.0,320.0,330.0,6868.0
2023-11-21,MSHL,324.1,336.6,323.8,331.8,9730.0
2023-11-22,MSHL,325.2,343.0,318.7,343.0,4150.0
2023-11-23,MSHL,336.2,354.0,325.1,353.0,7041.0
2023-11-26,MSHL,346.0,375.0,339.1,375.0,10751.0
2023-11-27,MSHL,367.5,382.0,359.0,379.3,14845.0
2023-11-28,MSHL,379.3,394.5,353.6,361.3,14462.0
2023-11-29,MSHL,361.3,358.0,340.0,357.0,10227.0
2023-11-30,MSHL,353.0,355.0,342.0,354.9,2796.0
2023-12-03,MSHL,355.0,355.0,342.0,344.1,4270.0
2023-12-04,MSHL,337.5,357.0,337.5,349.9,5885.0
2023-12-05,MSHL,343.0,345.0,339.0,342.0,2860.0
2023-12-06,MSHL,336.0,340.0,336.0,336.7,2510.0
2023-12-07,MSHL,331.2,353.5,331.2,344.0,5330.0
2023-12-10,MSHL,350.0,370.0,350.0,370.0,2230.0
2023-12-11,MSHL,377.4,377.4,349.0,364.1,27060.0
2023-12-12,MSHL,366.0,390.0,351.1,382.0,22129.0
2023-12-13,MSHL,380.0,387.0,365.1,373.9,19821.0
2023-12-14,MSHL,371.0,411.2,368.0,411.2,46523.0
2023-12-17,MSHL,403.0,436.0,390.1,409.0,25470.0
2023-12-18,MSHL,417.1,449.9,410.0,444.0,51612.0
2023-12-19,MSHL,440.0,488.4,440.0,488.4,16147.0
2023-12-20,MSHL,479.0,537.2,465.1,537.2,37328.0
2023-12-21,MSHL,547.9,590.9,545.0,587.0,34980.0
2023-12-24,MSHL,598.7,645.7,534.0,579.0,37227.0
2023-12-27,MSHL,567.5,567.5,521.1,550.0,37104.0
2023-12-28,MSHL,539.0,560.0,495.0,521.0,27772.0
2024-01-01,MSHL,531.4,549.5,501.0,530.0,12985.0
2024-01-02,MSHL,520.0,520.0,499.5,507.0,5827.0
2024-01-03,MSHL,517.0,554.0,499.0,511.1,17189.0
2024-01-04,MSHL,515.0,541.0,507.0,507.0,11620.0
2024-01-07,MSHL,497.0,528.4,497.0,501.2,6514.0
2024-01-08,MSHL,500.0,520.0,492.2,510.0,14257.0
2024-01-09,MSHL,520.0,550.0,495.0,521.8,30693.0
2024-01-10,MSHL,512.0,521.8,503.8,510.0,3100.0
2024-01-11,MSHL,502.0,561.0,502.0,561.0,42995.0
2024-01-14,MSHL,572.2,583.6,539.1,563.1,14941.0
2024-01-16,MSHL,556.0,569.0,535.1,541.0,11748.0
2024-01-17,MSHL,530.2,550.0,511.1,511.1,9982.0
2024-01-18,MSHL,500.9,520.8,500.9,510.1,8329.0
2024-01-21,MSHL,520.0,561.1,505.0,560.0,13125.0
2024-01-22,MSHL,550.0,615.0,527.1,613.0,42579.0
2024-01-23,MSHL,600.8,600.8,568.0,575.0,5516.0
2024-01-24,MSHL,575.0,632.5,571.2,632.5,41502.0
2024-01-25,MSHL,632.5,695.7,630.1,688.1,32523.0
