Date,Symbol,Open,High,Low,Close,Volume
2024-03-04,SPC,577.3,622.6,577.3,620.0,790.0
2024-03-05,SPC,632.4,645.0,574.0,582.2,14366.0
2024-03-06,SPC,570.6,617.9,570.6,617.0,22574.0
2024-03-07,SPC,605.0,666.0,585.0,586.0,18022.0
2024-03-08,SPC,605.0,666.0,585.0,586.0,18022.0
2024-03-09,SPC,605.0,666.0,585.0,586.0,18022.0
2024-03-10,SPC,597.7,621.0,585.1,587.0,25014.0
2024-03-11,SPC,597.7,621.0,585.1,587.0,25014.0
2024-03-12,SPC,598.7,622.0,576.0,581.0,14371.0
2024-03-13,SPC,592.6,592.6,567.0,578.2,6739.0
2024-03-14,SPC,585.0,585.0,563.1,570.0,16049.0
2024-03-15,SPC,585.0,585.0,563.1,570.0,16049.0
2024-03-16,SPC,585.0,585.0,563.1,570.0,16049.0
2024-03-17,SPC,570.0,575.0,560.0,560.0,8358.0
2024-03-18,SPC,571.2,571.2,552.0,557.0,7964.0
2024-03-19,SPC,558.0,568.0,556.0,558.0,1615.0
2024-03-20,SPC,569.0,569.1,547.2,549.0,10936.0
2024-03-21,SPC,559.0,559.0,540.0,540.0,5553.0
2024-03-22,SPC,559.0,559.0,540.0,540.0,5553.0
2024-03-23,SPC,559.0,559.0,540.0,540.0,5553.0
2024-03-24,SPC,559.0,559.0,540.0,540.0,5553.0
2024-03-25,SPC,530.0,560.0,528.4,560.0,6952.0
2024-03-26,SPC,555.0,560.0,532.0,551.0,10806.0
2024-03-27,SPC,545.0,550.0,535.0,545.0,5511.0
2024-03-28,SPC,538.0,589.0,530.0,589.0,5249.0
2024-03-29,SPC,538.0,589.0,530.0,589.0,5249.0
2024-03-30,SPC,538.0,589.0,530.0,589.0,5249.0
2024-03-31,SPC,590.0,590.0,546.0,565.0,11551.0
2024-04-01,SPC,553.7,565.0,542.7,545.3,4393.0
2024-04-02,SPC,538.0,556.1,538.0,543.9,2793.0
2024-04-03,SPC,539.0,547.1,536.0,536.0,1955.0
2024-04-04,SPC,540.0,546.7,529.0,530.0,5460.0
2024-04-05,SPC,540.0,546.7,529.0,530.0,5460.0
2024-04-06,SPC,540.0,546.7,529.0,530.0,5460.0
2024-04-07,SPC,535.0,545.0,531.2,540.0,3336.0
2024-04-08,SPC,535.0,545.0,531.2,540.0,3336.0
2024-04-09,SPC,540.0,550.6,537.0,539.0,2298.0
2024-04-10,SPC,549.0,555.0,539.0,544.0,5797.0
2024-04-11,SPC,549.0,555.0,539.0,544.0,5797.0
2024-04-12,SPC,549.0,555.0,539.0,544.0,5797.0
2024-04-13,SPC,549.0,555.0,539.0,544.0,5797.0
2024-04-14,SPC,544.0,553.8,535.1,535.1,1788.0
