Date,Symbol,Open,High,Low,Close,Volume
2024-06-03,NIBLSTF,10.0,10.0,9.0,9.0,4980.0
2024-06-04,NIBLSTF,8.82,8.82,8.67,8.8,16490.0
2024-06-05,NIBLSTF,8.64,8.7,8.64,8.7,4250.0
2024-06-06,NIBLSTF,8.53,8.7,8.44,8.53,5681.0
2024-06-07,NIBLSTF,8.53,8.7,8.44,8.53,5681.0
2024-06-08,NIBLSTF,8.53,8.7,8.44,8.53,5681.0
2024-06-09,NIBLSTF,8.38,8.5,8.38,8.41,8250.0
2024-06-10,NIBLSTF,8.41,8.45,8.25,8.4,1900.0
2024-06-11,NIBLSTF,8.25,8.5,8.25,8.5,3750.0
2024-06-12,NIBLSTF,8.45,8.84,8.45,8.84,3700.0
2024-06-13,NIBLSTF,8.9,8.91,8.54,8.54,1810.0
2024-06-14,NIBLSTF,8.9,8.91,8.54,8.54,1810.0
2024-06-15,NIBLSTF,8.9,8.91,8.54,8.54,1810.0
2024-06-16,NIBLSTF,8.37,8.37,8.21,8.25,2400.0
2024-06-17,NIBLSTF,8.37,8.37,8.21,8.25,2400.0
2024-06-18,NIBLSTF,8.09,8.25,8.01,8.11,2830.0
2024-06-19,NIBLSTF,7.95,8.13,7.95,8.13,1220.0
2024-06-20,NIBLSTF,8.13,8.3,7.97,8.3,7760.0
2024-06-21,NIBLSTF,8.13,8.3,7.97,8.3,7760.0
2024-06-22,NIBLSTF,8.13,8.3,7.97,8.3,7760.0
2024-06-23,NIBLSTF,8.14,8.24,8.14,8.15,2880.0
2024-06-24,NIBLSTF,8.15,8.65,8.15,8.65,3715.0
2024-06-25,NIBLSTF,8.75,8.75,8.3,8.3,2500.0
2024-06-26,NIBLSTF,8.4,8.56,8.31,8.56,6800.0
2024-06-27,NIBLSTF,8.6,8.89,8.55,8.89,11380.0
2024-06-28,NIBLSTF,8.6,8.89,8.55,8.89,11380.0
2024-06-29,NIBLSTF,8.6,8.89,8.55,8.89,11380.0
2024-06-30,NIBLSTF,8.72,8.89,8.55,8.55,1950.0
2024-07-01,NIBLSTF,8.5,8.5,8.33,8.38,2720.0
2024-07-02,NIBLSTF,8.22,8.38,8.22,8.38,5000.0
2024-07-03,NIBLSTF,8.4,8.4,8.36,8.36,600.0
2024-07-04,NIBLSTF,8.35,8.51,8.35,8.36,2650.0
2024-07-05,NIBLSTF,8.35,8.51,8.35,8.36,2650.0
2024-07-06,NIBLSTF,8.35,8.51,8.35,8.36,2650.0
2024-07-07,NIBLSTF,8.36,8.56,8.36,8.5,3450.0
2024-07-08,NIBLSTF,8.5,8.5,8.35,8.5,4450.0
2024-07-09,NIBLSTF,8.35,8.7,8.35,8.65,10900.0
2024-07-10,NIBLSTF,8.82,8.82,8.65,8.65,5110.0
2024-07-11,NIBLSTF,8.82,9.51,8.82,9.5,15750.0
2024-07-12,NIBLSTF,8.82,9.51,8.82,9.5,15750.0
2024-07-13,NIBLSTF,8.82,9.51,8.82,9.5,15750.0
2024-07-14,NIBLSTF,9.69,9.69,9.5,9.6,1400.0
2024-07-15,NIBLSTF,9.6,10.55,9.6,10.0,32430.0
2024-07-16,NIBLSTF,9.81,9.81,9.43,9.48,1700.0
2024-07-17,NIBLSTF,9.3,9.3,8.78,8.78,9335.0
2024-07-18,NIBLSTF,8.7,8.95,8.62,8.79,3598.0
2024-07-19,NIBLSTF,8.7,8.95,8.62,8.79,3598.0
2024-07-20,NIBLSTF,8.7,8.95,8.62,8.79,3598.0
2024-07-21,NIBLSTF,8.62,8.67,8.3,8.65,2720.0
2024-07-22,NIBLSTF,8.48,8.98,8.48,8.98,514990.0
2024-07-23,NIBLSTF,8.81,9.28,8.81,9.28,33590.0
2024-07-24,NIBLSTF,9.1,9.28,8.92,9.28,11500.0
2024-07-25,NIBLSTF,9.1,9.28,9.0,9.15,303550.0
2024-07-26,NIBLSTF,9.1,9.28,9.0,9.15,303550.0
2024-07-27,NIBLSTF,9.1,9.28,9.0,9.15,303550.0
2024-07-28,NIBLSTF,9.0,9.0,8.45,9.0,11650.0
2024-07-29,NIBLSTF,9.0,9.18,8.91,8.97,12761.0
2024-07-30,NIBLSTF,8.9,8.9,8.81,8.87,7150.0
2024-07-31,NIBLSTF,8.81,9.0,8.81,8.89,12130.0
2024-08-01,NIBLSTF,8.9,9.0,8.84,8.86,27700.0
2024-08-02,NIBLSTF,8.9,9.0,8.84,8.86,27700.0
2024-08-03,NIBLSTF,8.9,9.0,8.84,8.86,27700.0
2024-08-04,NIBLSTF,8.9,9.0,8.84,8.86,27700.0
2024-08-05,NIBLSTF,8.86,8.9,8.7,8.8,13291.0
2024-08-06,NIBLSTF,8.7,8.7,8.5,8.7,26700.0
2024-08-07,NIBLSTF,8.56,8.8,8.56,8.62,17500.0
2024-08-08,NIBLSTF,8.79,8.87,8.6,8.87,5200.0
2024-08-09,NIBLSTF,8.79,8.87,8.6,8.87,5200.0
2024-08-10,NIBLSTF,8.79,8.87,8.6,8.87,5200.0
2024-08-11,NIBLSTF,8.7,8.87,8.7,8.8,45900.0
2024-08-12,NIBLSTF,8.7,9.0,8.7,8.82,35700.0
2024-08-13,NIBLSTF,8.7,8.89,8.66,8.68,452055.0
2024-08-14,NIBLSTF,8.68,9.02,8.66,9.02,186045.0
2024-08-15,NIBLSTF,9.0,9.2,8.85,9.18,21700.0
2024-08-16,NIBLSTF,9.0,9.2,8.85,9.18,21700.0
2024-08-17,NIBLSTF,9.0,9.2,8.85,9.18,21700.0
