Date,Symbol,Open,High,Low,Close,Volume
2024_03_04,JSLBB,875.1,875.1,875.1,875.1,10.0
2024_03_05,JSLBB,875.0,887.9,843.4,846.0,531.0
2024_03_06,JSLBB,860.0,875.0,850.0,868.0,411.0
2024_03_07,JSLBB,884.0,884.0,854.0,871.0,706.0
2024_03_08,JSLBB,884.0,884.0,854.0,871.0,706.0
2024_03_09,JSLBB,884.0,884.0,854.0,871.0,706.0
2024_03_10,JSLBB,875.0,922.0,873.0,905.0,2694.0
2024_03_11,JSLBB,875.0,922.0,873.0,905.0,2694.0
2024_03_12,JSLBB,922.9,995.5,922.9,995.5,7199.0
2024_03_13,JSLBB,1015.4,1095.0,1015.4,1074.0,8704.0
2024_03_14,JSLBB,1074.0,1080.0,998.9,1020.0,4771.0
2024_03_15,JSLBB,1074.0,1080.0,998.9,1020.0,4771.0
2024_03_16,JSLBB,1074.0,1080.0,998.9,1020.0,4771.0
2024_03_17,JSLBB,1000.0,1060.0,983.0,1024.0,2827.0
2024_03_18,JSLBB,1030.0,1030.0,1005.0,1019.9,1290.0
2024_03_19,JSLBB,1040.2,1070.0,1029.9,1036.0,1970.0
2024_03_20,JSLBB,1056.7,1094.9,1048.0,1055.5,5159.0
2024_03_21,JSLBB,1040.0,1080.0,1040.0,1060.0,4270.0
2024_03_22,JSLBB,1040.0,1080.0,1040.0,1060.0,4270.0
2024_03_23,JSLBB,1040.0,1080.0,1040.0,1060.0,4270.0
2024_03_24,JSLBB,1040.0,1080.0,1040.0,1060.0,4270.0
2024_03_25,JSLBB,1040.0,1040.0,995.1,1002.1,2636.0
2024_03_26,JSLBB,1022.0,1059.0,1012.1,1030.0,1385.0
2024_03_27,JSLBB,1050.0,1050.0,1011.0,1025.0,1075.0
2024_03_28,JSLBB,1007.0,1027.0,995.0,1006.6,1437.0
2024_03_29,JSLBB,1007.0,1027.0,995.0,1006.6,1437.0
2024_03_30,JSLBB,1007.0,1027.0,995.0,1006.6,1437.0
2024_03_31,JSLBB,994.2,999.0,987.0,992.0,1164.0
2024_04_01,JSLBB,1010.9,1020.0,973.0,980.1,1147.0
2024_04_02,JSLBB,995.0,1049.0,995.0,1040.0,3024.0
2024_04_03,JSLBB,1059.8,1100.0,1040.1,1095.0,7460.0
2024_04_04,JSLBB,1095.0,1135.0,1070.0,1130.0,7196.0
2024_04_05,JSLBB,1095.0,1135.0,1070.0,1130.0,7196.0
2024_04_06,JSLBB,1095.0,1135.0,1070.0,1130.0,7196.0
2024_04_07,JSLBB,1150.0,1243.0,1150.0,1185.0,7794.0
2024_04_08,JSLBB,1150.0,1243.0,1150.0,1185.0,7794.0
2024_04_09,JSLBB,1200.0,1210.0,1157.5,1163.0,2224.0
2024_04_10,JSLBB,1151.1,1151.1,1120.0,1127.9,1857.0
2024_04_11,JSLBB,1151.1,1151.1,1120.0,1127.9,1857.0
2024_04_12,JSLBB,1151.1,1151.1,1120.0,1127.9,1857.0
2024_04_13,JSLBB,1151.1,1151.1,1120.0,1127.9,1857.0
2024_04_14,JSLBB,1120.0,1199.0,1106.0,1186.0,2342.0
2024_04_15,JSLBB,1199.0,1245.0,1163.3,1185.0,6991.0
2024_04_16,JSLBB,1162.0,1183.9,1125.0,1125.0,1429.0
2024_04_17,JSLBB,1162.0,1183.9,1125.0,1125.0,1429.0
2024_04_18,JSLBB,1140.0,1140.0,1100.1,1100.1,1277.0
2024_04_19,JSLBB,1140.0,1140.0,1100.1,1100.1,1277.0
2024_04_20,JSLBB,1140.0,1140.0,1100.1,1100.1,1277.0
2024_04_21,JSLBB,1121.0,1142.0,1100.0,1120.0,2511.0
2024_04_22,JSLBB,1142.0,1155.5,1100.0,1120.0,839.0
2024_04_23,JSLBB,1142.0,1155.5,1100.0,1120.0,839.0
2024_04_24,JSLBB,1130.0,1139.0,1081.0,1116.1,1266.0
2024_04_25,JSLBB,1116.1,1138.0,1103.1,1130.0,1016.0
2024_04_26,JSLBB,1116.1,1138.0,1103.1,1130.0,1016.0
2024_04_27,JSLBB,1116.1,1138.0,1103.1,1130.0,1016.0
2024_04_28,JSLBB,1152.0,1152.0,1111.0,1111.0,517.0
2024_04_29,JSLBB,1133.0,1133.0,1105.2,1123.0,900.0
2024_04_30,JSLBB,1111.1,1146.0,1080.0,1135.0,1967.0
2024_05_01,JSLBB,1111.1,1146.0,1080.0,1135.0,1967.0
2024_05_02,JSLBB,1157.0,1248.5,1157.0,1230.0,6156.0
2024_05_03,JSLBB,1157.0,1248.5,1157.0,1230.0,6156.0
2024_05_04,JSLBB,1157.0,1248.5,1157.0,1230.0,6156.0
2024_05_05,JSLBB,1206.0,1295.0,1205.0,1220.0,3971.0
2024_05_06,JSLBB,1200.0,1220.0,1181.0,1188.0,2313.0
2024_05_07,JSLBB,1200.0,1240.0,1200.0,1213.1,1059.0
2024_05_08,JSLBB,1237.3,1256.9,1216.0,1240.1,2450.0
2024_05_09,JSLBB,1264.9,1285.0,1223.1,1223.1,4688.0
2024_05_10,JSLBB,1264.9,1285.0,1223.1,1223.1,4688.0
2024_05_11,JSLBB,1264.9,1285.0,1223.1,1223.1,4688.0
2024_05_12,JSLBB,1225.0,1235.0,1190.8,1191.0,2066.0
2024_05_13,JSLBB,1214.8,1230.0,1191.0,1224.9,2246.0
2024_05_14,JSLBB,1239.0,1347.3,1239.0,1347.3,14050.0
2024_05_15,JSLBB,1374.2,1461.0,1347.3,1370.0,6560.0
2024_05_16,JSLBB,1397.0,1475.0,1369.1,1460.0,12806.0
2024_05_17,JSLBB,1397.0,1475.0,1369.1,1460.0,12806.0
2024_05_18,JSLBB,1397.0,1475.0,1369.1,1460.0,12806.0
2024_05_19,JSLBB,1485.0,1485.0,1376.0,1435.1,3566.0
2024_05_20,JSLBB,1460.0,1475.0,1390.0,1400.0,5843.0
2024_05_21,JSLBB,1387.0,1425.0,1373.0,1400.0,7070.0
2024_05_22,JSLBB,1424.0,1424.0,1365.0,1389.0,995.0
2024_05_23,JSLBB,1424.0,1424.0,1365.0,1389.0,995.0
