Date,Symbol,Open,High,Low,Close,Volume
2024_03_05,KEF,7.86,8.1,7.86,7.99,1900.0
2024_03_06,KEF,7.85,8.0,7.84,7.95,3100.0
2024_03_07,KEF,7.9,8.06,7.9,7.95,2400.0
2024_03_08,KEF,7.9,8.06,7.9,7.95,2400.0
2024_03_09,KEF,7.9,8.06,7.9,7.95,2400.0
2024_03_10,KEF,7.95,8.0,7.81,8.0,4700.0
2024_03_11,KEF,7.95,8.0,7.81,8.0,4700.0
2024_03_12,KEF,7.9,8.3,7.9,8.15,67760.0
2024_03_13,KEF,8.15,8.25,8.01,8.2,13245.0
2024_03_14,KEF,8.04,8.23,8.04,8.23,10215.0
2024_03_15,KEF,8.04,8.23,8.04,8.23,10215.0
2024_03_16,KEF,8.04,8.23,8.04,8.23,10215.0
2024_03_17,KEF,8.07,8.1,8.05,8.1,1150.0
2024_03_18,KEF,7.94,8.16,7.79,8.16,4575.0
2024_03_19,KEF,8.0,8.15,8.0,8.14,6200.0
2024_03_20,KEF,8.0,8.1,7.85,8.03,6025.0
2024_03_21,KEF,7.88,8.1,7.88,8.01,4450.0
2024_03_22,KEF,7.88,8.1,7.88,8.01,4450.0
2024_03_23,KEF,7.88,8.1,7.88,8.01,4450.0
2024_03_24,KEF,7.88,8.1,7.88,8.01,4450.0
2024_03_25,KEF,8.17,8.17,7.91,8.1,14675.0
2024_03_26,KEF,7.95,8.26,7.95,8.09,8500.0
2024_03_27,KEF,7.95,8.03,7.95,8.03,1000.0
2024_03_28,KEF,7.87,8.17,7.87,8.05,8150.0
2024_03_29,KEF,7.87,8.17,7.87,8.05,8150.0
2024_03_30,KEF,7.87,8.17,7.87,8.05,8150.0
2024_03_31,KEF,7.91,8.2,7.91,8.04,12900.0
2024_04_01,KEF,7.89,8.06,7.89,7.98,8700.0
2024_04_02,KEF,7.86,8.0,7.86,8.0,2400.0
2024_04_03,KEF,7.9,8.2,7.9,8.2,7400.0
2024_04_04,KEF,8.04,8.04,7.91,7.96,4300.0
2024_04_05,KEF,8.04,8.04,7.91,7.96,4300.0
2024_04_06,KEF,8.04,8.04,7.91,7.96,4300.0
